Year,Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,1,7:38,7:28,6:57,7:13,6:34,6:11,6:13,6:33,6:58,7:22,7:49,7:19
2019,2,7:38,7:27,6:56,7:12,6:33,6:10,6:13,6:34,6:59,7:22,7:50,7:20
2019,3,7:38,7:26,6:55,7:10,6:32,6:10,6:14,6:35,7:00,7:23,6:51,7:21
2019,4,7:38,7:25,6:53,7:09,6:31,6:10,6:14,6:36,7:00,7:24,6:52,7:22
2019,5,7:38,7:25,6:52,7:07,6:30,6:10,6:15,6:37,7:01,7:25,6:53,7:23
2019,6,7:38,7:24,6:51,7:06,6:29,6:09,6:15,6:37,7:02,7:26,6:54,7:24
2019,7,7:38,7:23,6:49,7:05,6:28,6:09,6:16,6:38,7:03,7:27,6:55,7:24
2019,8,7:38,7:22,6:48,7:03,6:27,6:09,6:16,6:39,7:04,7:27,6:56,7:25
2019,9,7:38,7:21,6:46,7:02,6:26,6:09,6:17,6:40,7:04,7:28,6:57,7:26
2019,10,7:38,7:20,7:45,7:00,6:25,6:09,6:18,6:41,7:05,7:29,6:58,7:27
2019,11,7:38,7:19,7:44,6:59,6:24,6:09,6:18,6:41,7:06,7:30,6:59,7:28
2019,12,7:38,7:18,7:42,6:58,6:23,6:09,6:19,6:42,7:07,7:31,7:00,7:28
2019,13,7:38,7:17,7:41,6:56,6:22,6:09,6:20,6:43,7:07,7:32,7:01,7:29
2019,14,7:37,7:16,7:39,6:55,6:21,6:09,6:20,6:44,7:08,7:33,7:02,7:30
2019,15,7:37,7:14,7:38,6:54,6:21,6:09,6:21,6:45,7:09,7:33,7:03,7:30
2019,16,7:37,7:13,7:36,6:52,6:20,6:09,6:21,6:45,7:10,7:34,7:04,7:31
2019,17,7:36,7:12,7:35,6:51,6:19,6:09,6:22,6:46,7:11,7:35,7:05,7:32
2019,18,7:36,7:11,7:33,6:50,6:18,6:09,6:23,6:47,7:11,7:36,7:06,7:32
2019,19,7:36,7:10,7:32,6:48,6:18,6:09,6:24,6:48,7:12,7:37,7:07,7:33
2019,20,7:35,7:09,7:31,6:47,6:17,6:09,6:24,6:49,7:13,7:38,7:08,7:33
2019,21,7:35,7:07,7:29,6:46,6:16,6:10,6:25,6:49,7:14,7:39,7:09,7:34
2019,22,7:34,7:06,7:28,6:45,6:16,6:10,6:26,6:50,7:14,7:40,7:10,7:34
2019,23,7:34,7:05,7:26,6:43,6:15,6:10,6:26,6:51,7:15,7:41,7:11,7:35
2019,24,7:33,7:04,7:25,6:42,6:14,6:10,6:27,6:52,7:16,7:42,7:12,7:35
2019,25,7:33,7:02,7:23,6:41,6:14,6:11,6:28,6:53,7:17,7:43,7:13,7:36
2019,26,7:32,7:01,7:22,6:40,6:13,6:11,6:29,6:53,7:18,7:44,7:14,7:36
2019,27,7:31,7:00,7:20,6:39,6:13,6:11,6:30,6:54,7:18,7:44,7:15,7:37
2019,28,7:31,6:59,7:19,6:37,6:12,6:12,6:30,6:55,7:19,7:45,7:16,7:37
2019,29,7:30,,7:18,6:36,6:12,6:12,6:31,6:56,7:20,7:46,7:17,7:37
2019,30,7:29,,7:16,6:35,6:12,6:12,6:32,6:57,7:21,7:47,7:18,7:37
2019,31,7:29,,7:15,,6:11,,6:33,6:57,,7:48,,7:38
2018,1,7:38,7:28,6:57,7:13,6:34,6:11,6:13,6:34,6:58,7:22,7:50,7:19
2018,2,7:38,7:27,6:56,7:11,6:33,6:10,6:13,6:34,6:59,7:23,7:51,7:20
2018,3,7:38,7:26,6:54,7:10,6:32,6:10,6:14,6:35,7:00,7:23,7:52,7:21
2018,4,7:38,7:25,6:53,7:09,6:31,6:10,6:14,6:36,7:01,7:24,6:53,7:22
2018,5,7:38,7:24,6:52,7:07,6:30,6:10,6:15,6:37,7:01,7:25,6:54,7:23
2018,6,7:38,7:23,6:50,7:06,6:29,6:09,6:15,6:38,7:02,7:26,6:55,7:24
2018,7,7:38,7:22,6:49,7:04,6:28,6:09,6:16,6:38,7:03,7:27,6:56,7:25
2018,8,7:38,7:21,6:47,7:03,6:27,6:09,6:17,6:39,7:04,7:28,6:57,7:25
2018,9,7:38,7:21,6:46,7:02,6:26,6:09,6:17,6:40,7:04,7:28,6:58,7:26
2018,10,7:38,7:20,6:45,7:00,6:25,6:09,6:18,6:41,7:05,7:29,6:59,7:27
2018,11,7:38,7:18,7:43,6:59,6:24,6:09,6:18,6:42,7:06,7:30,7:00,7:28
2018,12,7:38,7:17,7:42,6:57,6:23,6:09,6:19,6:42,7:07,7:31,7:01,7:28
2018,13,7:38,7:16,7:40,6:56,6:22,6:09,6:20,6:43,7:08,7:32,7:02,7:29
2018,14,7:37,7:15,7:39,6:55,6:21,6:09,6:20,6:44,7:08,7:33,7:03,7:30
2018,15,7:37,7:14,7:37,6:53,6:20,6:09,6:21,6:45,7:09,7:34,7:04,7:31
2018,16,7:37,7:13,7:36,6:52,6:20,6:09,6:22,6:46,7:10,7:35,7:05,7:31
2018,17,7:36,7:12,7:35,6:51,6:19,6:09,6:22,6:46,7:11,7:35,7:06,7:32
2018,18,7:36,7:11,7:33,6:49,6:18,6:09,6:23,6:47,7:11,7:36,7:07,7:32
2018,19,7:36,7:10,7:32,6:48,6:17,6:09,6:24,6:48,7:12,7:37,7:08,7:33
2018,20,7:35,7:08,7:30,6:47,6:17,6:09,6:24,6:49,7:13,7:38,7:09,7:34
2018,21,7:35,7:07,7:29,6:46,6:16,6:10,6:25,6:50,7:14,7:39,7:10,7:34
2018,22,7:34,7:06,7:27,6:44,6:15,6:10,6:26,6:50,7:15,7:40,7:11,7:35
2018,23,7:34,7:05,7:26,6:43,6:15,6:10,6:27,6:51,7:15,7:41,7:12,7:35
2018,24,7:33,7:03,7:24,6:42,6:14,6:10,6:27,6:52,7:16,7:42,7:13,7:35
2018,25,7:33,7:02,7:23,6:41,6:14,6:11,6:28,6:53,7:17,7:43,7:14,7:36
2018,26,7:32,7:01,7:22,6:39,6:13,6:11,6:29,6:54,7:18,7:44,7:15,7:36
2018,27,7:31,7:00,7:20,6:38,6:13,6:11,6:30,6:54,7:19,7:45,7:16,7:37
2018,28,7:31,6:58,7:19,6:37,6:12,6:12,6:30,6:55,7:19,7:46,7:17,7:37
2018,29,7:30,,7:17,6:36,6:12,6:12,6:31,6:56,7:20,7:47,7:17,7:37
2018,30,7:29,,7:16,6:35,6:11,6:13,6:32,6:57,7:21,7:48,7:18,7:37
2018,31,7:28,,7:14,,6:11,,6:33,6:57,,7:49,,7:38
2017,1,7:38,7:27,6:57,7:12,6:33,6:11,6:13,6:34,6:58,7:22,7:50,7:20
2017,2,7:38,7:27,6:55,7:11,6:32,6:10,6:14,6:35,6:59,7:23,7:51,7:20
2017,3,7:38,7:26,6:54,7:10,6:31,6:10,6:14,6:35,7:00,7:24,7:52,7:21
2017,4,7:38,7:25,6:53,7:08,6:30,6:10,6:15,6:36,7:01,7:24,7:53,7:22
2017,5,7:38,7:24,6:51,7:07,6:29,6:10,6:15,6:37,7:02,7:25,6:54,7:23
2017,6,7:38,7:23,6:50,7:05,6:28,6:09,6:16,6:38,7:02,7:26,6:55,7:24
2017,7,7:38,7:22,6:48,7:04,6:27,6:09,6:16,6:39,7:03,7:27,6:56,7:25
2017,8,7:38,7:21,6:47,7:03,6:26,6:09,6:17,6:39,7:04,7:28,6:57,7:26
2017,9,7:38,7:20,6:46,7:01,6:25,6:09,6:17,6:40,7:05,7:29,6:58,7:26
2017,10,7:38,7:19,6:44,7:00,6:24,6:09,6:18,6:41,7:05,7:30,6:59,7:27
2017,11,7:38,7:18,6:43,6:58,6:24,6:09,6:19,6:42,7:06,7:30,7:00,7:28
2017,12,7:38,7:17,7:41,6:57,6:23,6:09,6:19,6:43,7:07,7:31,7:01,7:29
2017,13,7:38,7:16,7:40,6:56,6:22,6:09,6:20,6:43,7:08,7:32,7:02,7:29
2017,14,7:37,7:15,7:39,6:54,6:21,6:09,6:20,6:44,7:09,7:33,7:03,7:30
2017,15,7:37,7:14,7:37,6:53,6:20,6:09,6:21,6:45,7:09,7:34,7:04,7:31
2017,16,7:37,7:13,7:36,6:52,6:19,6:09,6:22,6:46,7:10,7:35,7:05,7:31
2017,17,7:36,7:12,7:34,6:50,6:19,6:09,6:23,6:47,7:11,7:36,7:06,7:32
2017,18,7:36,7:10,7:33,6:49,6:18,6:09,6:23,6:47,7:12,7:37,7:07,7:33
2017,19,7:36,7:09,7:31,6:48,6:17,6:09,6:24,6:48,7:12,7:37,7:08,7:33
2017,20,7:35,7:08,7:30,6:47,6:17,6:10,6:25,6:49,7:13,7:38,7:09,7:34
2017,21,7:35,7:07,7:28,6:45,6:16,6:10,6:25,6:50,7:14,7:39,7:10,7:34
2017,22,7:34,7:06,7:27,6:44,6:15,6:10,6:26,6:51,7:15,7:40,7:11,7:35
2017,23,7:34,7:04,7:26,6:43,6:15,6:10,6:27,6:51,7:16,7:41,7:12,7:35
2017,24,7:33,7:03,7:24,6:42,6:14,6:10,6:28,6:52,7:16,7:42,7:13,7:36
2017,25,7:32,7:02,7:23,6:40,6:14,6:11,6:28,6:53,7:17,7:43,7:14,7:36
2017,26,7:32,7:01,7:21,6:39,6:13,6:11,6:29,6:54,7:18,7:44,7:15,7:36
2017,27,7:31,6:59,7:20,6:38,6:13,6:11,6:30,6:55,7:19,7:45,7:16,7:37
2017,28,7:30,6:58,7:18,6:37,6:12,6:12,6:31,6:55,7:20,7:46,7:17,7:37
2017,29,7:30,,7:17,6:36,6:12,6:12,6:31,6:56,7:20,7:47,7:18,7:37
2017,30,7:29,,7:15,6:35,6:11,6:13,6:32,6:57,7:21,7:48,7:19,7:38
2017,31,7:28,,7:14,,6:11,,6:33,6:58,,7:49,,7:38
2016,1,7:38,7:28,6:56,7:12,6:33,6:11,6:13,6:34,6:59,7:22,7:50,7:20
2016,2,7:38,7:27,6:55,7:11,6:32,6:10,6:14,6:35,6:59,7:23,7:51,7:21
2016,3,7:38,7:26,6:54,7:09,6:31,6:10,6:14,6:36,7:00,7:24,7:52,7:22
2016,4,7:38,7:26,6:52,7:08,6:30,6:10,6:15,6:36,7:01,7:25,7:53,7:22
2016,5,7:38,7:25,6:51,7:06,6:29,6:10,6:15,6:37,7:02,7:26,7:54,7:23
2016,6,7:38,7:24,6:50,7:05,6:28,6:09,6:16,6:38,7:03,7:26,6:55,7:24
2016,7,7:38,7:23,6:48,7:04,6:27,6:09,6:16,6:39,7:03,7:27,6:56,7:25
2016,8,7:38,7:22,6:47,7:02,6:26,6:09,6:17,6:40,7:04,7:28,6:57,7:26
2016,9,7:38,7:21,6:45,7:01,6:25,6:09,6:17,6:40,7:05,7:29,6:58,7:27
2016,10,7:38,7:20,6:44,6:59,6:24,6:09,6:18,6:41,7:06,7:30,6:59,7:27
2016,11,7:38,7:19,6:42,6:58,6:23,6:09,6:19,6:42,7:06,7:31,7:00,7:28
2016,12,7:38,7:18,6:41,6:57,6:22,6:09,6:19,6:43,7:07,7:31,7:01,7:29
2016,13,7:38,7:17,7:40,6:55,6:22,6:09,6:20,6:44,7:08,7:32,7:02,7:30
2016,14,7:37,7:16,7:38,6:54,6:21,6:09,6:21,6:44,7:09,7:33,7:03,7:30
2016,15,7:37,7:15,7:37,6:53,6:20,6:09,6:21,6:45,7:10,7:34,7:04,7:31
2016,16,7:37,7:14,7:35,6:51,6:19,6:09,6:22,6:46,7:10,7:35,7:05,7:32
2016,17,7:37,7:13,7:34,6:50,6:19,6:09,6:23,6:47,7:11,7:36,7:06,7:32
2016,18,7:36,7:11,7:32,6:49,6:18,6:09,6:23,6:48,7:12,7:37,7:07,7:33
2016,19,7:36,7:10,7:31,6:47,6:17,6:09,6:24,6:48,7:13,7:38,7:08,7:33
2016,20,7:35,7:09,7:30,6:46,6:16,6:10,6:25,6:49,7:13,7:39,7:09,7:34
2016,21,7:35,7:08,7:28,6:45,6:16,6:10,6:26,6:50,7:14,7:40,7:10,7:34
2016,22,7:35,7:07,7:27,6:44,6:15,6:10,6:26,6:51,7:15,7:40,7:11,7:35
2016,23,7:34,7:05,7:25,6:42,6:15,6:10,6:27,6:52,7:16,7:41,7:12,7:35
2016,24,7:33,7:04,7:24,6:41,6:14,6:11,6:28,6:52,7:17,7:42,7:13,7:36
2016,25,7:33,7:03,7:22,6:40,6:14,6:11,6:29,6:53,7:17,7:43,7:14,7:36
2016,26,7:32,7:02,7:21,6:39,6:13,6:11,6:29,6:54,7:18,7:44,7:15,7:36
2016,27,7:32,7:00,7:19,6:38,6:13,6:12,6:30,6:55,7:19,7:45,7:16,7:37
2016,28,7:31,6:59,7:18,6:37,6:12,6:12,6:31,6:56,7:20,7:46,7:17,7:37
2016,29,7:30,6:58,7:16,6:35,6:12,6:12,6:32,6:56,7:21,7:47,7:18,7:37
2016,30,7:30,,7:15,6:34,6:11,6:13,6:32,6:57,7:21,7:48,7:19,7:38
2016,31,7:29,,7:14,,6:11,,6:33,6:58,,7:49,,7:38
2015,1,7:38,7:28,6:57,7:13,6:34,6:11,6:13,6:34,6:58,7:22,7:50,7:19
2015,2,7:38,7:27,6:56,7:11,6:33,6:10,6:13,6:34,6:59,7:23,6:51,7:20
2015,3,7:38,7:26,6:54,7:10,6:32,6:10,6:14,6:35,7:00,7:23,6:51,7:21
2015,4,7:38,7:25,6:53,7:09,6:31,6:10,6:14,6:36,7:01,7:24,6:52,7:22
2015,5,7:38,7:24,6:52,7:07,6:30,6:10,6:15,6:37,7:01,7:25,6:53,7:23
2015,6,7:38,7:23,6:50,7:06,6:29,6:09,6:15,6:38,7:02,7:26,6:54,7:24
2015,7,7:38,7:22,6:49,7:04,6:28,6:09,6:16,6:38,7:03,7:27,6:55,7:25
2015,8,7:38,7:22,6:47,7:03,6:27,6:09,6:17,6:39,7:04,7:28,6:56,7:25
2015,9,7:38,7:21,7:46,7:02,6:26,6:09,6:17,6:40,7:04,7:28,6:58,7:26
2015,10,7:38,7:20,7:45,7:00,6:25,6:09,6:18,6:41,7:05,7:29,6:59,7:27
2015,11,7:38,7:19,7:43,6:59,6:24,6:09,6:18,6:42,7:06,7:30,7:00,7:28
2015,12,7:38,7:17,7:42,6:57,6:23,6:09,6:19,6:42,7:07,7:31,7:01,7:28
2015,13,7:38,7:16,7:40,6:56,6:22,6:09,6:20,6:43,7:08,7:32,7:02,7:29
2015,14,7:37,7:15,7:39,6:55,6:21,6:09,6:20,6:44,7:08,7:33,7:03,7:30
2015,15,7:37,7:14,7:38,6:53,6:20,6:09,6:21,6:45,7:09,7:34,7:04,7:31
2015,16,7:37,7:13,7:36,6:52,6:20,6:09,6:22,6:46,7:10,7:35,7:05,7:31
2015,17,7:36,7:12,7:35,6:51,6:19,6:09,6:22,6:46,7:11,7:35,7:06,7:32
2015,18,7:36,7:11,7:33,6:49,6:18,6:09,6:23,6:47,7:11,7:36,7:07,7:32
2015,19,7:36,7:10,7:32,6:48,6:17,6:09,6:24,6:48,7:12,7:37,7:08,7:33
2015,20,7:35,7:08,7:30,6:47,6:17,6:09,6:24,6:49,7:13,7:38,7:09,7:34
2015,21,7:35,7:07,7:29,6:46,6:16,6:10,6:25,6:50,7:14,7:39,7:10,7:34
2015,22,7:34,7:06,7:27,6:44,6:16,6:10,6:26,6:50,7:15,7:40,7:11,7:35
2015,23,7:34,7:05,7:26,6:43,6:15,6:10,6:27,6:51,7:15,7:41,7:12,7:35
2015,24,7:33,7:03,7:24,6:42,6:14,6:10,6:27,6:52,7:16,7:42,7:13,7:35
2015,25,7:33,7:02,7:23,6:41,6:14,6:11,6:28,6:53,7:17,7:43,7:14,7:36
2015,26,7:32,7:01,7:22,6:39,6:13,6:11,6:29,6:54,7:18,7:44,7:15,7:36
2015,27,7:31,7:00,7:20,6:38,6:13,6:11,6:30,6:54,7:19,7:45,7:16,7:37
2015,28,7:31,6:58,7:19,6:37,6:12,6:12,6:30,6:55,7:19,7:46,7:16,7:37
2015,29,7:30,,7:17,6:36,6:12,6:12,6:31,6:56,7:20,7:47,7:17,7:37
2015,30,7:29,,7:16,6:35,6:11,6:13,6:32,6:57,7:21,7:48,7:18,7:37
2015,31,7:28,,7:14,,6:11,,6:33,6:57,,7:49,,7:38
2014,1,7:38,7:28,6:57,7:13,6:34,6:11,6:13,6:34,6:58,7:22,7:50,7:19
2014,2,7:38,7:27,6:56,7:11,6:33,6:10,6:13,6:34,6:59,7:23,6:51,7:20
2014,3,7:38,7:26,6:54,7:10,6:32,6:10,6:14,6:35,7:00,7:23,6:51,7:21
2014,4,7:38,7:25,6:53,7:09,6:31,6:10,6:14,6:36,7:01,7:24,6:52,7:22
2014,5,7:38,7:24,6:52,7:07,6:30,6:10,6:15,6:37,7:01,7:25,6:53,7:23
2014,6,7:38,7:23,6:50,7:06,6:29,6:09,6:15,6:38,7:02,7:26,6:54,7:24
2014,7,7:38,7:22,6:49,7:04,6:28,6:09,6:16,6:38,7:03,7:27,6:55,7:25
2014,8,7:38,7:22,6:47,7:03,6:27,6:09,6:17,6:39,7:04,7:28,6:56,7:25
2014,9,7:38,7:21,7:46,7:02,6:26,6:09,6:17,6:40,7:04,7:28,6:58,7:26
2014,10,7:38,7:20,7:45,7:00,6:25,6:09,6:18,6:41,7:05,7:29,6:59,7:27
2014,11,7:38,7:19,7:43,6:59,6:24,6:09,6:18,6:42,7:06,7:30,7:00,7:28
2014,12,7:38,7:17,7:42,6:57,6:23,6:09,6:19,6:42,7:07,7:31,7:01,7:28
2014,13,7:38,7:16,7:40,6:56,6:22,6:09,6:20,6:43,7:08,7:32,7:02,7:29
2014,14,7:37,7:15,7:39,6:55,6:21,6:09,6:20,6:44,7:08,7:33,7:03,7:30
2014,15,7:37,7:14,7:38,6:53,6:20,6:09,6:21,6:45,7:09,7:34,7:04,7:31
2014,16,7:37,7:13,7:36,6:52,6:20,6:09,6:22,6:46,7:10,7:35,7:05,7:31
2014,17,7:36,7:12,7:35,6:51,6:19,6:09,6:22,6:46,7:11,7:35,7:06,7:32
2014,18,7:36,7:11,7:33,6:49,6:18,6:09,6:23,6:47,7:11,7:36,7:07,7:32
2014,19,7:36,7:10,7:32,6:48,6:17,6:09,6:24,6:48,7:12,7:37,7:08,7:33
2014,20,7:35,7:08,7:30,6:47,6:17,6:09,6:24,6:49,7:13,7:38,7:09,7:34
2014,21,7:35,7:07,7:29,6:46,6:16,6:10,6:25,6:50,7:14,7:39,7:10,7:34
2014,22,7:34,7:06,7:27,6:44,6:16,6:10,6:26,6:50,7:15,7:40,7:11,7:35
2014,23,7:34,7:05,7:26,6:43,6:15,6:10,6:27,6:51,7:15,7:41,7:12,7:35
2014,24,7:33,7:03,7:24,6:42,6:14,6:10,6:27,6:52,7:16,7:42,7:13,7:35
2014,25,7:33,7:02,7:23,6:41,6:14,6:11,6:28,6:53,7:17,7:43,7:14,7:36
2014,26,7:32,7:01,7:22,6:39,6:13,6:11,6:29,6:54,7:18,7:44,7:15,7:36
2014,27,7:31,7:00,7:20,6:38,6:13,6:11,6:30,6:54,7:19,7:45,7:16,7:37
2014,28,7:31,6:58,7:19,6:37,6:12,6:12,6:30,6:55,7:19,7:46,7:16,7:37
2014,29,7:30,,7:17,6:36,6:12,6:12,6:31,6:56,7:20,7:47,7:17,7:37
2014,30,7:29,,7:16,6:35,6:11,6:13,6:32,6:57,7:21,7:48,7:18,7:37
2014,31,7:28,,7:14,,6:11,,6:33,6:57,,7:49,,7:38
